# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-9.886378645896911621e-01 1.151050999760627747e-02 1.683763414621353149e-02 4.497945308685302734e-03 2.445631217956542969e+01 -2.248086035251617432e-02 -1.303147641010582447e-03 6.703217048197984695e-03 9.209441021084785461e-03 4.619292449206113815e-03 -9.493477642536163330e-02 -9.731226600706577301e-03 1.909219287335872650e-02 -1.237411168403923512e-03 -2.841544119291938841e-05 -1.237411168403923512e-03 4.595274222083389759e-04 6.724119884893298149e-06 -2.841544119291938841e-05 6.724119884893298149e-06 3.469299757853150368e-03
-9.876914620399475098e-01 1.188634335994720459e-02 1.683763414621353149e-02 4.497945308685302734e-03 2.445631217956542969e+01 -2.248086035251617432e-02 -1.303147641010582447e-03 6.703217048197984695e-03 9.209441021084785461e-03 4.619292449206113815e-03 -9.493477642536163330e-02 -9.731226600706577301e-03 1.957138627767562866e-02 -1.349479891359806061e-03 -3.501285391394048929e-05 -1.349479891359806061e-03 5.381133523769676685e-04 7.508663202315801755e-06 -3.501285391394048929e-05 7.508663202315801755e-06 3.663188545033335686e-03
-9.867075085639953613e-01 1.217108871787786484e-02 1.619105972349643707e-02 6.226656958460807800e-03 1.995546150207519531e+01 -2.535044774413108826e-02 -1.316530979238450527e-03 1.631524064578115940e-03 7.594610098749399185e-03 4.224182106554508209e-03 -8.228967338800430298e-02 -6.633779499679803848e-03 1.987263746559619904e-02 -1.453595934435725212e-03 -4.244145384291186929e-05 -1.453595934435725212e-03 6.224308745004236698e-04 8.763033292780164629e-06 -4.244145384291186929e-05 8.763033292780164629e-06 3.847109386697411537e-03
-9.856861829757690430e-01 1.237310655415058136e-02 1.619105972349643707e-02 6.226656958460807800e-03 1.995546150207519531e+01 -2.535044774413108826e-02 -1.316530979238450527e-03 1.631524064578115940e-03 7.594610098749399185e-03 4.224182106554508209e-03 -8.228967338800430298e-02 -6.633779499679803848e-03 2.001428231596946716e-02 -1.549147884361445904e-03 -5.009138112654909492e-05 -1.549147884361445904e-03 7.118124631233513355e-04 1.055194934451719746e-05 -5.009138112654909492e-05 1.055194934451719746e-05 4.020120017230510712e-03
-9.846274256706237793e-01 1.250199694186449051e-02 1.532752346247434616e-02 1.077405177056789398e-02 1.612259483337402344e+01 -2.804210409522056580e-02 -4.835545842070132494e-04 -8.762095123529434204e-03 4.169391002506017685e-03 2.481659175828099251e-03 -6.572449952363967896e-02 -2.494101645424962044e-03 2.001726627349853516e-02 -1.636065309867262840e-03 -5.695165600627660751e-05 -1.636065309867262840e-03 8.055123616941273212e-04 1.292210072278976440e-05 -5.695165600627660751e-05 1.292210072278976440e-05 4.181215073913335800e-03
-9.835313558578491211e-01 1.256804727017879486e-02 1.484603341668844223e-02 1.303974073380231857e-02 1.447287178039550781e+01 -2.879699133336544037e-02 5.273721399134956300e-05 -1.409430243074893951e-02 1.953213941305875778e-03 1.103593967854976654e-03 -5.466017499566078186e-02 3.622974691097624600e-05 1.990380324423313141e-02 -1.714590121991932392e-03 -6.192621367517858744e-05 -1.714590121991932392e-03 9.027744526974856853e-04 1.584823803568724543e-05 -6.192621367517858744e-05 1.584823803568724543e-05 4.329518415033817291e-03
-9.823979735374450684e-01 1.258147507905960083e-02 1.434256136417388916e-02 1.434027776122093201e-02 1.299697303771972656e+01 -2.900035306811332703e-02 4.532195453066378832e-04 -1.815591007471084595e-02 -3.723989939317107201e-04 -5.373269668780267239e-04 -4.168565943837165833e-02 2.828207332640886307e-03 1.969561912119388580e-02 -1.785093802027404308e-03 -6.443046004278585315e-05 -1.785093802027404308e-03 1.002856530249118805e-03 1.902859185065608472e-05 -6.443046004278585315e-05 1.902859185065608472e-05 4.464472644031047821e-03
-9.812273383140563965e-01 1.255194749683141708e-02 1.434256136417388916e-02 1.434027776122093201e-02 1.299697303771972656e+01 -2.900035306811332703e-02 4.532195453066378832e-04 -1.815591007471084595e-02 -3.723989939317107201e-04 -5.373269668780267239e-04 -4.168565943837165833e-02 2.828207332640886307e-03 1.941283419728279114e-02 -1.847917912527918816e-03 -6.469898653449490666e-05 -1.847917912527918816e-03 1.105050323531031609e-03 2.179972034355159849e-05 -6.469898653449490666e-05 2.179972034355159849e-05 4.586010705679655075e-03
-9.800194501876831055e-01 1.248884852975606918e-02 1.331896148622035980e-02 1.330544892698526382e-02 1.052299404144287109e+01 -2.726471237838268280e-02 3.790830087382346392e-04 -2.077562734484672546e-02 -4.340097773820161819e-03 -3.862505080178380013e-03 -1.470174174755811691e-02 7.707044016569852829e-03 1.907419785857200623e-02 -1.903234864585101604e-03 -6.334209319902583957e-05 -1.903234864585101604e-03 1.208706176839768887e-03 2.345081702515017241e-05 -6.334209319902583957e-05 2.345081702515017241e-05 4.694793373346328735e-03
-9.787744283676147461e-01 1.240110956132411957e-02 1.279089879244565964e-02 1.187306549400091171e-02 9.495245933532714844e+00 -2.492544986307621002e-02 -9.270294685848057270e-05 -1.967835053801536560e-02 -5.440830253064632416e-03 -5.103319417685270309e-03 -3.437347477301955223e-03 8.668076246976852417e-03 1.869683712720870972e-02 -1.951202517375349998e-03 -6.103535270085558295e-05 -1.951202517375349998e-03 1.313185202889144421e-03 2.364855026826262474e-05 -6.103535270085558295e-05 2.364855026826262474e-05 4.792196210473775864e-03
