# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-7.242372632026672363e-01 6.642812397330999374e-03 8.667166694067418575e-04 -3.524369793012738228e-03 5.218672752380371094e-01 2.100898139178752899e-02 7.172601763159036636e-03 9.919164003804326057e-04 -6.506292149424552917e-03 -2.292840508744120598e-03 8.027250878512859344e-03 2.446690807119011879e-03 7.354476954787969589e-03 -1.757499296218156815e-03 -1.893633816507644951e-05 -1.757499296218156815e-03 2.489870414137840271e-03 1.517232885817065835e-05 -1.893633816507644951e-05 1.517232885817065835e-05 3.441889770328998566e-03
-7.113727331161499023e-01 6.526738870888948441e-03 8.208509534597396851e-04 -3.278547199442982674e-03 4.981689155101776123e-01 1.687270216643810272e-02 6.382863968610763550e-03 -9.102577459998428822e-04 -9.347848594188690186e-03 -1.370298559777438641e-03 3.656974062323570251e-03 4.198299720883369446e-03 7.224848493933677673e-03 -1.732115983031690121e-03 -2.804617179208435118e-05 -1.732115983031690121e-03 2.451358363032341003e-03 1.810069261409807950e-05 -2.804617179208435118e-05 1.810069261409807950e-05 3.376613603904843330e-03
-6.982653737068176270e-01 6.414117291569709778e-03 7.736385450698435307e-04 -7.753536105155944824e-03 4.804152250289916992e-01 8.666086010634899139e-03 4.117187578231096268e-03 4.477016627788543701e-04 -1.122238952666521072e-02 -3.201743820682168007e-03 8.356100879609584808e-03 7.541527505964040756e-03 7.101759780198335648e-03 -1.710800570435822010e-03 -2.419490010652225465e-05 -1.710800570435822010e-03 2.413121284916996956e-03 1.951856938831042498e-05 -2.419490010652225465e-05 1.951856938831042498e-05 3.313212888315320015e-03
-6.849197149276733398e-01 6.302854046225547791e-03 7.416500593535602093e-04 -7.087299134582281113e-03 4.686881601810455322e-01 6.128808483481407166e-03 3.171142190694808960e-03 -3.652533050626516342e-04 -1.091976743191480637e-02 -5.972335580736398697e-03 1.061427127569913864e-02 7.424399256706237793e-03 6.965111009776592255e-03 -1.687808078713715076e-03 -3.046486381208524108e-05 -1.687808078713715076e-03 2.379168290644884109e-03 1.928743222379125655e-05 -3.046486381208524108e-05 1.928743222379125655e-05 3.260503290221095085e-03
-6.713401675224304199e-01 6.193807814270257950e-03 6.990570691414177418e-04 -3.681738628074526787e-03 4.641771316528320312e-01 8.760905824601650238e-03 -1.516696647740900517e-04 -3.644099226221442223e-03 -1.078616082668304443e-02 -6.987096741795539856e-03 1.219416502863168716e-02 6.681161001324653625e-03 6.829182151705026627e-03 -1.649837940931320190e-03 -4.894388621323741972e-05 -1.649837940931320190e-03 2.341559622436761856e-03 1.632004023122135550e-05 -4.894388621323741972e-05 1.632004023122135550e-05 3.217906458303332329e-03
-6.575314998626708984e-01 6.072528660297393799e-03 6.683446117676794529e-04 -2.973632887005805969e-03 4.491932690143585205e-01 6.293511483818292618e-03 -2.029747003689408302e-03 1.228259759955108166e-03 -7.598357740789651871e-03 -3.083946416154503822e-03 7.545786444097757339e-03 2.241016132757067680e-03 6.686961743980646133e-03 -1.611002255231142044e-03 -5.901635813643224537e-05 -1.611002255231142044e-03 2.301533240824937820e-03 1.721800981613341719e-05 -5.901635813643224537e-05 1.721800981613341719e-05 3.157348837703466415e-03
-6.434983611106872559e-01 5.942595656961202621e-03 6.363210850395262241e-04 -3.032847307622432709e-03 4.293483793735504150e-01 1.932020648382604122e-03 -9.290153975598514080e-04 1.625547767616808414e-03 -3.361654467880725861e-03 1.630389015190303326e-03 4.432573448866605759e-03 1.501363702118396759e-03 6.535897031426429749e-03 -1.572354813106358051e-03 -6.738121010130271316e-05 -1.572354813106358051e-03 2.260147128254175186e-03 1.979771332116797566e-05 -6.738121010130271316e-05 1.979771332116797566e-05 3.088890109211206436e-03
-6.292455196380615234e-01 5.810593720525503159e-03 6.040093139745295048e-04 -2.942493883892893791e-03 4.151164293289184570e-01 5.462893750518560410e-03 1.027367659844458103e-03 3.234511939808726311e-03 -2.944290405139327049e-03 9.970987448468804359e-04 -6.149273365736007690e-03 -4.991485620848834515e-04 6.376784294843673706e-03 -1.535777235403656960e-03 -7.290113717317581177e-05 -1.535777235403656960e-03 2.218115376308560371e-03 1.568069092172663659e-05 -7.290113717317581177e-05 1.568069092172663659e-05 3.026051912456750870e-03
-6.147779226303100586e-01 5.677269306033849716e-03 5.795921315439045429e-04 -5.313926885719411075e-05 4.060760438442230225e-01 8.884630165994167328e-03 1.270615612156689167e-03 3.056708956137299538e-03 -5.649229045957326889e-03 6.567092495970427990e-04 -7.973122410476207733e-03 -2.491013379767537117e-03 6.213715765625238419e-03 -1.498125027865171432e-03 -7.179498061304911971e-05 -1.498125027865171432e-03 2.178664552047848701e-03 1.584641540830489248e-05 -7.179498061304911971e-05 1.584641540830489248e-05 2.962994622066617012e-03
-6.001004576683044434e-01 5.542484577745199203e-03 5.507481400854885578e-04 1.880364143289625645e-03 3.900327682495117188e-01 1.044079940766096115e-02 2.941922517493367195e-03 7.728657219558954239e-04 -8.009699173271656036e-03 2.141631412087008357e-04 -2.909572795033454895e-03 -3.126767696812748909e-03 6.050358992069959641e-03 -1.459580264054238796e-03 -7.331015513045713305e-05 -1.459580264054238796e-03 2.142342040315270424e-03 1.893780972750391811e-05 -7.331015513045713305e-05 1.893780972750391811e-05 2.891233423724770546e-03
-5.852181315422058105e-01 5.415212363004684448e-03 5.252120899967849255e-04 3.198983380571007729e-03 3.764871060848236084e-01 1.209777593612670898e-02 4.278867039829492569e-03 -1.697158440947532654e-03 -4.882676061242818832e-03 -4.272838123142719269e-04 -2.896070480346679688e-03 -2.196068409830331802e-03 5.895613227039575577e-03 -1.426254864782094955e-03 -7.057225593598559499e-05 -1.426254864782094955e-03 2.106517087668180466e-03 1.607372178114019334e-05 -7.057225593598559499e-05 1.607372178114019334e-05 2.828832250088453293e-03
